counter for class F. buski labeled with totals 189 images sample
Threshold	E. histolytica	E. coli	E. nana	I. butschlii	Blastocystis spp	G. duodenalis	A. lumbricoides (Fertilized egg)	A. lumbricoides (Unfertilized egg)	A. lumbricoides (Decorticated egg)	E. vermicularis	T. trichiura	Hookwarm	S. stercoralis	T. orientalis	Toxocara spp	C. philippinensis	F. buski	Echinostoma spp	Haplorchis spp	G. hominis	S. japonicum	S. mekongi	S. mansoni	S. haematobium	O. viverrini	E. pancreaticum	Fasciola spp	Paragonimus spp	Taenia spp	H. nana	H. diminuta	D. caninum	D. latum	Spirometra spp
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	21	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	21	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	21	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	21	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	21	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	20	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	20	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	18	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	16	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	14	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	14	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	12	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	11	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	11	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	11	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	10	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
